STATIONS_ID;MESS_DATUM;QN_3;  FX;  FM;QN_4; RSK;RSKF; SDK;SHK_TAG;  NM; VPM;  PM; TMK; UPM; TXK; TNK; TGK;eor
         73;20190516;-999;-999;-999;    3;   0.4;   4;    0.000;-999;  -999;   9.5;    -999;    8.2;   88.13;   11.5;    5.4;    4.4;eor
         73;20190517;-999;-999;-999;    3;   0.0;   0;   12.850;-999;  -999;  10.6;    -999;   13.7;   70.29;   21.1;    5.8;    4.1;eor
         73;20190518;-999;-999;-999;    3;   0.0;   0;   12.350;-999;  -999;  10.6;    -999;   15.5;   63.13;   22.5;    7.2;    4.3;eor
         73;20190519;-999;-999;-999;    3;   0.0;   0;   12.433;-999;  -999;  11.7;    -999;   15.9;   67.71;   24.9;    6.7;    4.3;eor
         73;20190520;-999;-999;-999;    3;  24.6;   4;    0.000;-999;  -999;  13.8;    -999;   12.9;   92.71;   15.2;   10.2;    8.9;eor
         73;20190521;-999;-999;-999;    3;  10.5;   4;    0.000;-999;  -999;  13.5;    -999;   12.3;   94.00;   13.7;   11.3;   11.2;eor
         73;20190522;-999;-999;-999;    3;   0.1;   4;    0.033;-999;  -999;  13.4;    -999;   12.3;   93.33;   14.3;   10.6;    9.2;eor
         73;20190523;-999;-999;-999;    3;   0.0;   0;   10.283;-999;  -999;  11.1;    -999;   13.0;   76.75;   19.6;    7.5;    5.3;eor
         73;20190524;-999;-999;-999;    3;   0.0;   0;   13.300;-999;  -999;  11.2;    -999;   14.2;   72.13;   23.4;    5.7;    4.1;eor
         73;20190525;-999;-999;-999;    3;   0.2;   4;    8.167;-999;  -999;  12.5;    -999;   15.8;   72.25;   23.2;    8.5;    6.9;eor
         73;20190526;-999;-999;-999;    3;   0.0;   0;    7.983;-999;  -999;  -999;    -999;   15.5;-999;   23.6;   10.8;    9.5;eor
         73;20190527;-999;-999;-999;    3;   6.2;   4;    5.800;-999;  -999;  14.2;    -999;   15.6;   81.46;   23.0;    9.0;    7.2;eor
         73;20190528;-999;-999;-999;    3;  14.7;   4;    0.000;-999;  -999;  14.6;    -999;   13.4;   95.04;   16.2;   10.4;    9.9;eor
         73;20190529;-999;-999;-999;    3;   2.0;   4;    1.300;-999;  -999;  12.4;    -999;   11.8;   90.08;   15.7;   10.1;    9.4;eor
         73;20190530;-999;-999;-999;    3;   0.0;   0;    9.783;-999;  -999;  11.3;    -999;   13.3;   76.29;   20.2;    8.6;    7.4;eor
         73;20190531;-999;-999;-999;    3;   0.5;   4;    2.050;-999;  -999;  13.5;    -999;   14.7;   81.75;   20.7;    8.6;    8.0;eor
         73;20190601;-999;-999;-999;    3;   0.0;   0;   10.683;-999;  -999;  15.6;    -999;   18.6;   75.38;   26.5;   11.7;   10.2;eor
         73;20190602;-999;-999;-999;    3;   0.0;   0;   13.433;-999;  -999;  15.7;    -999;   20.3;   69.54;   28.5;   11.4;    9.4;eor
         73;20190603;-999;-999;-999;    3;   0.0;   0;   13.383;-999;  -999;  14.9;    -999;   20.8;   64.92;   29.8;   11.8;    9.3;eor
         73;20190604;-999;-999;-999;    3;   0.0;   0;   13.233;-999;  -999;  16.1;    -999;   20.8;   68.79;   30.0;   12.2;   10.1;eor
         73;20190605;-999;-999;-999;    3;   0.0;   0;   13.200;-999;  -999;  16.6;    -999;   22.4;   64.00;   30.7;   12.4;   10.5;eor
         73;20190606;-999;-999;-999;    3;   4.1;   4;    9.017;-999;  -999;  16.0;    -999;   19.5;   71.67;   25.9;   12.3;   12.1;eor
         73;20190607;-999;-999;-999;    3;   0.0;   0;   12.967;-999;  -999;  16.4;    -999;   19.2;   74.83;   27.2;   10.2;    9.2;eor
         73;20190608;-999;-999;-999;    3;   0.0;   0;    7.100;-999;  -999;  11.6;    -999;   16.8;   61.92;   23.0;   11.1;    9.2;eor
         73;20190609;-999;-999;-999;    3;   0.0;   0;   11.967;-999;  -999;  14.5;    -999;   19.4;   67.33;   27.5;   10.0;    8.8;eor
         73;20190610;-999;-999;-999;    3;   9.1;   4;    4.733;-999;  -999;  18.2;    -999;   20.3;   78.50;   29.2;   14.1;   12.7;eor
         73;20190611;-999;-999;-999;    3;   0.0;   0;    6.317;-999;  -999;  19.5;    -999;   20.1;   83.33;   28.3;   14.8;   13.9;eor
         73;20190612;-999;-999;-999;    3;   0.0;   0;    9.450;-999;  -999;  17.9;    -999;   20.6;   76.33;   30.6;   13.9;   12.8;eor
         73;20190613;-999;-999;-999;    3;   0.0;   0;    9.617;-999;  -999;  16.4;    -999;   19.6;   72.42;   27.1;   14.5;   13.5;eor
         73;20190614;-999;-999;-999;    3;   0.0;   0;   12.050;-999;  -999;  17.4;    -999;   23.7;   62.58;   32.0;   13.9;   12.4;eor
         73;20190615;-999;-999;-999;    3;   3.1;   4;    7.217;-999;  -999;  18.5;    -999;   23.3;   65.21;   29.1;   16.7;   14.1;eor
         73;20190616;-999;-999;-999;    3;   0.0;   0;    3.917;-999;  -999;  17.4;    -999;   18.3;   83.54;   23.4;   13.2;   10.9;eor
         73;20190617;-999;-999;-999;    3;   0.0;   0;   10.483;-999;  -999;  15.7;    -999;   20.0;   70.92;   27.9;   11.7;    9.6;eor
